state_1,state_2,output,stop_number,multiplicity,class,safety
t,e,e,7,1,INTERNAL,0
t,e,y,1,1,INTERNAL,0
a,SPACE,ch,8,1,BOUNDARY,1
a,i,i,5,1,INTERNAL,0
a,i,i,7,2,INTERNAL,0
a,i,i,8,2,INTERNAL,0
a,i,r,1,1,INTERNAL,0
a,i,n,3,1,INTERNAL,0
a,i,n,5,1,INTERNAL,0
a,l,o,7,1,INTERNAL,0
a,l,d,7,1,INTERNAL,0
a,l,s,7,1,INTERNAL,0
a,r,o,7,1,INTERNAL,0
d,SPACE,sh,8,1,BOUNDARY,0
d,SPACE,d,8,2,BOUNDARY,0
d,ch,o,7,1,INTERNAL,0
d,ch,e,7,1,INTERNAL,0
d,ch,y,2,1,INTERNAL,0
d,sh,o,7,1,INTERNAL,0
d,k,o,7,1,INTERNAL,0
d,o,d,7,1,INTERNAL,0
d,o,l,3,1,INTERNAL,0
d,o,l,7,1,INTERNAL,0
d,o,r,1,1,INTERNAL,0
d,o,r,3,1,INTERNAL,0
d,a,i,5,1,INTERNAL,0
d,a,i,7,2,INTERNAL,0
d,a,i,8,2,INTERNAL,0
d,a,l,3,1,INTERNAL,0
d,a,n,1,1,INTERNAL,0
d,e,o,7,1,INTERNAL,0
d,e,e,6,1,INTERNAL,0
d,e,e,7,1,INTERNAL,0
d,l,s,7,1,INTERNAL,0
d,y,k,7,1,INTERNAL,0
e,SPACE,ch,8,1,BOUNDARY,0
e,ch,y,2,1,INTERNAL,0
e,k,y,2,1,INTERNAL,0
e,o,d,4,1,INTERNAL,0
e,o,d,7,1,INTERNAL,0
e,o,s,7,1,INTERNAL,0
e,o,l,3,1,INTERNAL,0
e,o,l,7,1,INTERNAL,0
e,o,r,3,1,INTERNAL,0
e,t,y,1,1,INTERNAL,0
e,a,i,8,1,INTERNAL,0
e,a,r,3,1,INTERNAL,0
e,e,o,7,1,INTERNAL,0
e,e,a,7,1,INTERNAL,0
e,e,e,6,1,INTERNAL,0
e,e,e,7,1,INTERNAL,0
e,e,s,1,1,INTERNAL,0
e,e,s,7,1,INTERNAL,0
e,e,y,1,2,INTERNAL,0
e,s,e,1,1,INTERNAL,0
s,SPACE,q,8,1,BOUNDARY,0
s,SPACE,ch,8,2,BOUNDARY,0
s,SPACE,sh,8,2,BOUNDARY,0
s,SPACE,o,8,1,BOUNDARY,0
s,SPACE,d,8,1,BOUNDARY,0
s,ch,y,2,1,INTERNAL,0
s,o,l,3,1,INTERNAL,0
s,o,r,3,1,INTERNAL,0
s,a,i,7,1,INTERNAL,0
s,a,i,8,1,INTERNAL,0
s,a,l,3,1,INTERNAL,0
i,SPACE,ch,8,1,BOUNDARY,1
i,sh,e,7,1,INTERNAL,0
i,s,o,7,1,INTERNAL,0
i,i,s,7,1,INTERNAL,0
i,i,i,8,1,INTERNAL,0
i,i,l,3,1,INTERNAL,0
i,i,r,1,1,INTERNAL,0
i,i,n,2,2,INTERNAL,0
i,i,n,3,4,INTERNAL,0
i,i,n,5,2,INTERNAL,0
i,i,n,7,1,INTERNAL,0
i,i,n,8,1,INTERNAL,0
i,l,d,7,1,INTERNAL,0
i,n,y,1,1,INTERNAL,0
l,SPACE,q,8,1,BOUNDARY,0
l,SPACE,ch,8,3,BOUNDARY,0
l,SPACE,cph,8,1,BOUNDARY,0
l,SPACE,cth,8,1,BOUNDARY,0
l,SPACE,sh,8,2,BOUNDARY,0
l,SPACE,f,8,1,BOUNDARY,0
l,SPACE,k,8,1,BOUNDARY,0
l,SPACE,o,8,1,BOUNDARY,0
l,SPACE,d,8,4,BOUNDARY,0
l,SPACE,s,8,1,BOUNDARY,0
l,SPACE,y,8,1,BOUNDARY,0
l,sh,o,7,1,INTERNAL,0
l,sh,e,7,1,INTERNAL,0
l,sh,y,1,1,INTERNAL,0
l,o,ch,5,1,INTERNAL,0
l,o,d,7,1,INTERNAL,0
l,o,e,7,1,INTERNAL,0
l,o,r,3,1,INTERNAL,0
l,a,i,8,1,INTERNAL,0
l,d,y,2,1,INTERNAL,0
l,s,a,7,1,INTERNAL,0
l,s,y,1,1,INTERNAL,0
l,y,sh,7,1,INTERNAL,0
y,SPACE,q,8,2,BOUNDARY,0
y,SPACE,ch,8,3,BOUNDARY,0
y,SPACE,cph,8,1,BOUNDARY,0
y,SPACE,cth,8,1,BOUNDARY,0
y,SPACE,sh,8,2,BOUNDARY,0
y,SPACE,ckh,8,1,BOUNDARY,0
y,SPACE,k,8,2,BOUNDARY,0
y,SPACE,o,1,1,BOUNDARY,0
y,SPACE,o,8,1,BOUNDARY,0
y,SPACE,t,8,1,BOUNDARY,0
y,SPACE,d,8,3,BOUNDARY,0
y,SPACE,s,8,1,BOUNDARY,0
y,SPACE,y,8,2,BOUNDARY,0
y,ch,a,7,1,INTERNAL,0
y,ch,e,7,1,INTERNAL,0
y,p,ch,5,1,INTERNAL,0
y,sh,y,1,1,INTERNAL,0
y,k,ch,5,1,INTERNAL,0
y,k,sh,7,1,INTERNAL,0
y,k,o,7,1,INTERNAL,0
y,k,e,7,1,INTERNAL,0
y,k,y,2,1,INTERNAL,0
y,k,y,3,1,INTERNAL,0
y,o,r,3,1,INTERNAL,0
y,t,ch,5,1,INTERNAL,0
y,t,ch,7,1,INTERNAL,0
y,t,o,7,1,INTERNAL,0
y,d,a,5,1,INTERNAL,0
y,d,a,7,1,INTERNAL,0
y,d,y,2,1,INTERNAL,0
r,SPACE,q,8,1,BOUNDARY,0
r,SPACE,ch,8,4,BOUNDARY,0
r,SPACE,cth,8,2,BOUNDARY,0
r,SPACE,sh,8,2,BOUNDARY,0
r,SPACE,ckh,8,1,BOUNDARY,0
r,SPACE,o,8,2,BOUNDARY,0
r,SPACE,a,8,2,BOUNDARY,0
r,SPACE,d,8,2,BOUNDARY,0
r,SPACE,s,1,1,BOUNDARY,0
r,SPACE,l,8,1,BOUNDARY,0
r,SPACE,y,8,2,BOUNDARY,0
r,ch,o,7,1,INTERNAL,0
r,ch,e,7,1,INTERNAL,0
r,o,ch,5,1,INTERNAL,0
m,SPACE,ch,8,1,BOUNDARY,1
n,SPACE,q,8,1,BOUNDARY,0
n,SPACE,ch,8,2,BOUNDARY,0
n,SPACE,cth,8,1,BOUNDARY,0
n,SPACE,sh,8,2,BOUNDARY,0
n,SPACE,ckh,8,1,BOUNDARY,0
n,SPACE,o,8,1,BOUNDARY,0
n,SPACE,t,8,1,BOUNDARY,0
n,SPACE,d,1,1,BOUNDARY,0
n,SPACE,d,8,1,BOUNDARY,0
n,SPACE,s,8,1,BOUNDARY,0
n,SPACE,y,8,1,BOUNDARY,0
g,SPACE,ch,8,1,BOUNDARY,1
