section,metric,paper_target,reproduced_value,absolute_difference,status,note
Next-state prediction,Bigram bits/state,2.2931,2.293238393944109,0.00013839394410908312,reconstructed_near_match,Additive smoothing alpha=0.1 and page-fold seed 123 are now explicit; the original choices were not archived.
Next-state prediction,Trigram bits/state,2.1691,2.169472300692944,0.00037230069294436063,reconstructed_near_match,Additive smoothing alpha=0.1 and page-fold seed 123 are now explicit; the original choices were not archived.
Table 3,bigram_jsd,0.03892,0.03898054599993121,6.0545999931209404e-05,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,eight_plus_rate,0.0117,0.011693602693602693,6.397306397306832e-06,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,hapax_legomena,136.17,136.028,0.1419999999999959,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,mean_word_length,4.0186,4.01826936026936,0.0003306397306399589,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,neutral_restart_gallows,0.0277,0.02878125,0.0010812500000000023,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,one_character_rate,0.0446,0.04452525252525252,7.474747474747745e-05,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,paragraph_start_gallows,1.0,1.0,0.0,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,trigram_jsd,0.10608,0.10608769254975516,7.692549755161648e-06,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,word_boundary_jsd,0.11462,0.11375889901035047,0.0008611009896495325,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,word_length_sd,1.6186,1.6193038616614208,0.0007038616614207793,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Table 3,word_types,188.54,188.411,0.12899999999999068,stochastic_near_match,The original simulation seed was not preserved; the package archives seed 20260817.
Shelf attestation,A2,0.55,0.5503501683501684,0.0003501683501683228,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Shelf attestation,HerbalA_outside_A2,0.1752,0.17465252525252525,0.000547474747474741,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Shelf attestation,Outside_A2_total,0.2205,0.22015420875420877,0.00034579124579123266,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Shelf attestation,Unattested,0.2295,0.22949562289562292,4.3771043770901574e-06,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Shelf attestation,VM_outside_HerbalA,0.0453,0.0455016835016835,0.0002016835016835014,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Shelf attestation,VM_total,0.7705,0.7705043771043771,4.377104377173424e-06,stochastic_near_match,The original simulation seed was not preserved; the package archives a separate deterministic stream.
Table 4 nulls,uni VM_total,0.1237,0.1236983164983165,1.6835016835026195e-06,exact_archived_output,
Table 4 nulls,uni Outside_A2_total,0.0897,0.0896861952861952,1.3804713804799196e-05,exact_archived_output,
Table 4 nulls,bi VM_total,0.7726,0.7725838383838384,1.616161616158074e-05,exact_archived_output,
Table 4 nulls,bi Outside_A2_total,0.286,0.2860309764309764,3.09764309764371e-05,exact_archived_output,
Table 4 nulls,tri VM_total,0.8762,0.8762175084175083,1.750841750836063e-05,exact_archived_output,
Table 4 nulls,tri Outside_A2_total,0.228,0.2280026936026935,2.693602693504271e-06,exact_archived_output,
D-G reassignment,Observed new active compartments,99,99,0.0,exact,
D-G reassignment,Reassignment mean,108.17,108.16666666666667,0.0033333333333303017,exact_to_printed_precision,The paper result uses the stored stable-22 state definition (VM23 excluding rare g).
D-G reassignment,One-sided exact p,0.0056,0.005555555555555556,4.4444444444444176e-05,exact_to_printed_precision,
D-G sensitivity,VM23 reassignment mean,,109.16666666666667,,new_sensitivity,Including g changes the mean to 109.17 while leaving observed=99 and p=1/180.
Inventory,Main tablets,600,600,0.0,exact,
Inventory,Safety tablets,14,14,0.0,exact,
Inventory audit,Reachable tablets under published rules,,584,,new_audit,Sixteen physical tablets are unreachable under the printed state-update and stopping rules.
Inventory audit,Reachable empty states,,0,,new_audit,
A-2 fitting inputs,BOUNDARY empirical events,257,257,0.0,exact,
A-2 fitting inputs,INTERNAL empirical events,604,604,0.0,exact,
A-2 fitting inputs,RESTART empirical events,32,32,0.0,exact,
A-2 fitting inputs,SECOND empirical events,283,283,0.0,exact,
A-2 fitting inputs,START empirical events,8,8,0.0,exact,
